IDX,Acct_Mgr_Quality,Acct_Team_Ability,Acct_Team_Breadth,Acct_Team_Contribution,Acct_Team_Engagement,Acct_Team_Info,Acct_Team_Leadership,Acct_Team_Plan,Acct_Team_Problem_Solver,Acct_Team_Sales_Support,Acct_Team_Satisfaction,Communications,Competitor_Comparison,Continue,Credit_Score,Ease,Joint_Service_Delivery,Loyalty,Mktg_Proj,Online_Tools/Applications_Satisfaction,Online_Tools_Colloboration,Online_Tools_Ease,Online_Tools_Effectiveness,Online_Tools_Help,Online_Tools_Sufficient,Online_Tools_Timeliness,Operation_Support_Quality,Partnership_Committed,Product_Quality,Profit,Relationship,Sales_Expectation,Sales_Training,Satisfaction,Service_Account_Team_Satisfaction,Service_Sales_Support,Service_Support,Solutions_Support,Support_Importance,Support_Mgr_Quality,Support_Quality,Svc_Proj,Team_Comparison,Value,Will_Recommend,Prediction
16,4,4,3.6997572911,3.4937469006,4,3,3,3,4,4,4,4,3.8739021724,5,3,4,3.3225608028,1,3,4,3,3,3.9160747473,3,3,3.6997572911,3.6997572911,5,5,4,4,4,4,4,3.6273774461,3.5537646529,3.4698973344,3.5247160332,5,4,5,5,3.8969427718,5,5,111.729075
17,4,4,3.7350791531,3.7048990248,4,4,4,4,4,5,4,3,5,5,1,4,3,1,4,4,4,5,3.8646954952,4,4,3.7350791531,3.7350791531,5,5,3,5,4,4,4,2,3.6542566302,3,3,5,4,4,3,5,3,5,110.823339587
18,5,4.3819388346,3.9176127782,5,4.0560678462,4.3753837326,4,4.2261364764,4.4175683799,4.3097083301,4.2317173625,4,3.9848155663,5,3,4,4.0897648184,1,4,4,4,4,3.9829691549,4,4,3.9176127782,3.9176127782,4,5,4,4,3,4.1548221165,4,4.1738978163,4.1968584361,4.1331412014,4.1494212811,4,5,5,4,4.1675603434,3,5,120.616363636
19,4,3.2977285875,3.5517731207,3,1.9112204601,3.286854534,3.1277467298,2.7667344743,3.3302527505,3.0887662769,3,3,3.5521749934,5,3,2,3.0876787052,1,3.4879458186,2.7806467386,2.7139519489,4.2246878913,2.8021542179,3.0235834525,2.4893742619,3.5517731207,3.5517731207,5,4,4,2,5,2.4204200248,3,3.5850858242,3.4289752629,3.3692120959,3.3315606976,4,3,2,3.4416376602,3.9986417493,3,5,112.276359223
20,4.0986632944,3.9913939357,3.6006913571,3.8083461754,3,3.9721727448,3.6204701253,3.7690150271,4.0167251235,3.8829360274,4,4,4,5,2,4,3.6620072232,1,3.9644998038,3.682370913,3.6640239846,4.0887135959,3.7283681285,3.5367808512,3.4872620146,3.6006913571,3.6006913571,4,4,4,4,4,3,4,3.8258747976,3.822363209,3.7456558886,3.7768963386,4,4.105965692,4,3.9411764706,3.9391104076,4,4,114
21,4,5,3.9892309928,5,4,5,4,5,5,5,4,5,4.3844131709,5,1,5,4,1,5,4,4,4,4.5771845457,4,4,3.9892309928,3.9892309928,5,5,5,5,4,4,5,4,4.3478117241,4,4,5,5,5,4.5931059675,4.5422666375,4,5,110.971514196
22,5,4.3022278186,3.7584076651,5,3.0707101963,4.2414438041,3.812978457,3.9472685482,4.318207566,4.1495057842,3,4,3.8289644606,5,2,3,4.0607085621,1,5,3.4613382954,3.4832310988,4.325790632,3.5273350225,3.6255871224,3.3944760426,3.7584076651,3.7584076651,5,4,4,3,4,3.4108543103,3.9982313394,5,4.2519964681,4.1875336676,4.1724300282,5,5,4,4,4.4262557919,3,5,101.425882353
23,5,4.7493300214,4.0107510749,4,4.0898556199,4.6781657616,4,4.5056926679,4.7540868322,4.6177871789,5,4,5,5,1,4,4.3445216467,1,4.6082400279,4,4,5,4.3224805587,4,4,4.0107510749,4.0107510749,5,5,4,4,4,4.3096025769,5,5,4.5020664373,4.4130037045,4.4605365945,5,5,5,4.5504119594,5,5,5,113.202027972
24,3.9679907597,3.8835822585,3.5486636545,3.6538418102,3.7547451932,3.8920714017,3.517454216,3.745021825,3.8987136743,3.7605894945,3.9558487167,3.8969090724,3.9720571107,4.1249169673,1,3.766126452,3.4042454695,0,3.8581394743,3.8063461771,3.7676875338,3.9429838063,3.8269426713,3.388469229,3.5614249023,3.5486636545,3.5486636545,3.9799581894,4.0823866506,3.8262821683,3.967251037,3.6712538075,3.8712063406,3.9978345218,3.5478476458,3.5831438732,3.4681145861,3.5505896611,3.9837539029,4.017660573,3.9788712189,3.8307433443,3.8433483625,3.5987114689,4.1108917113,110.971514196
25,5,4.0430348699,3.7118179879,5,3.8717282349,3.9966967907,3.5078142176,3.79675462,4.068302349,3.9183463861,4,4,5,5,1,4,3.3646144458,1,4.132916552,3.7012322426,3.7073831034,4.1537772396,3.7040530879,3.4231876143,3.4374090133,3.7118179879,3.7118179879,5,5,4,5,5,4.0379475615,5,2,3.5875510495,3.5032258637,3.5662528026,5,5,3,2,5,3,5,113.202027972
26,5,4.7345671658,3.8663039134,5,3.5898544788,4.6415176158,4.0130705778,4.4391616487,4.7423232116,4.5929434407,4,4.1841697686,5,5,1,4,4.3357359362,1,5,3.6649582114,3.739065593,4.3456290277,3.730592311,3.7648688083,3.6921392933,3.8663039134,3.8663039134,4,4,4.1592425949,4,5,3.8646501382,4,4.4854633732,4.4930752395,4.4220375019,4.4258286859,5,4.7182843003,1,5,5,3,5,113.202027972
27,5,5,3.9560508653,5,4,5,4.5157146916,5,5,5,4,5,3,5,1,4,4.5205238284,1,4.5926111,4.6974649498,4.6722275096,4.7476174962,4.7988883305,4.4053205682,4.4390804376,3.9560508653,3.9560508653,5,5,5,5,5,5,5,4.5457459684,4.646461042,4.5347285712,4.6090065799,5,4,4,5,4,4,5,110.971514196
28,1,1,3.8023431933,2.6052827957,5,1,4,1,1,1,5,3,5,5,1,4,4,1,4,4,4,5,4.8387029277,4,4,3.8023431933,3.8023431933,5,4,4,4,3,5,3,4,2.9128626504,4,4,5,4,4,5,2,4,5,112.75263919
29,4.1603851505,4.0631416182,3.5642904808,3.8255906122,3.5012041394,4.0662458565,3.6052610447,3.9139253353,4.0711184668,3.9258311792,3.751304426,3.8465066239,3.7965997277,4.0009838996,1,3.6131974283,3.6880636232,0,3.8558476137,3.6544055218,3.63848718,3.9074571478,3.6912521762,3.3787251846,3.5495901945,3.5642904808,3.5642904808,3.839802574,4.0093482656,3.7074158279,3.8578431685,3.6718827701,3.6621436163,3.921484866,3.7689038256,3.849581514,3.7334984361,3.79236381,3.7871752659,4.1134099981,3.8803578179,3.7805806141,3.8824202284,3.5554259387,3.9918582798,107.480709329
30,5,4.5765467999,3.8330270659,4,3.6675356887,4.4961084124,3.9487887135,4.2937653583,4.5855751186,4.4361799454,4,4,5,5,1,4,4.1394185921,1,4.376608728,3.7582176663,3.8081292433,4.3476114198,3.8147365595,3.7465557915,3.6929442132,3.8330270659,3.8330270659,5,4,4,4,4,3.9224166531,4,4,4.3115289551,4.2333287108,4.2560460223,5,5,4,4,5,5,5,113.202027972
31,2,3.4209288681,3.4854325637,3.219362588,2.8200801981,3.4519912548,3.4496109259,3.1154986302,3.4495447353,3.2817272794,3.3506839203,4,3,4,3,2,3.3435319237,1,4,3.5449959087,3.4389523311,4.1590211073,3.5978113266,3.4374765231,3.1849323265,3.4854325637,3.4854325637,4,5,4,3,3,3.1116585678,4,3.5808222887,3.5603635062,3.4789528597,3.4961244234,4,3.6580049778,4,3.4985154741,3.2180095435,4,4,112.276359223
32,3,3,3.6044939602,3.4244684987,2,3,3.1734988806,2,4,3,3,4,2,4,5,3,3.3736637584,1,3.5274020655,2,3.0422281099,3.7344699699,3.1170356356,3,3,3.6044939602,3.6044939602,4,4,4,3,3,3,4,3.5364649322,3.5027239283,3.4693959215,3.4311309275,4,3,4,4,2,3,4,110.053877551
33,4,4.0454852515,3.877393802,3.9356031311,4.0424363467,4.034089658,3.6553868166,3.8251853548,4.1004965327,3.9888646237,4.3060090976,4,4.2191319568,5,1,4,3.6483582996,1,4,3.8082117135,3.787816433,4.2711482007,3.8306265722,3.7056448327,3.5655352373,3.877393802,3.877393802,5,4,4,4,4,4.1436757869,5,3.8883174953,3.7979988203,3.7599326964,3.7701042324,5,4,4,4,4.2332413566,5,5,107.480709329
34,5,5,3.8022862212,4.0206073717,3,5,4,5,5,5,4,5,3,5,1,4,4,1,3,4,4,4,4.0892284448,4,2,3.8022862212,3.8022862212,4,5,4,4,5,4,4,5,4.3526473085,4,4,5,3,5,4,4,3,5,112.75263919
35,5,5,4.0961308884,4.730249478,4.1709013929,5,4.2618935754,5,5,5,4.5482177306,4,5,5,1,4,5,1,5,4.114768993,4.1797926104,4.59062071,4.173578006,4.0686227185,4.065031952,4.0961308884,4.0961308884,5,5,5,5,5,4.3824643374,4,5,4.6160671698,5,5,5,5,5,5,5,5,5,112.75263919
36,4.1256833569,3.9770073206,3.9562213388,3.9157249234,3.8984011973,3.9943020062,3.6723237666,3.7527544879,4.0457515092,3.9395272534,4.1647197115,4,3.8619450374,5,5,4,3.7561817658,1,4.1374741048,3.7341809732,3.6928498074,4.3002325951,3.7630188276,3.7565111058,3.523157034,3.9562213388,3.9562213388,4,5,4,4,4,4.0000094876,4,3.9731498777,3.8850244826,3.8657673192,3.8419608965,5,4.2009304873,4,5,3.9870587133,4,5,107.134204355
37,5,5,3.9061354341,4.3941704032,5,5,4,5,5,5,5,4,4,5,2,4,3,1,5,3,4,5,3.8662500982,3,3,3.9061354341,3.9061354341,5,4,4,5,4,5,5,4,3.9651449695,4,3,5,5,4,5,5,4,5,107.134204355
38,4,4,3.9273759687,4,4,4,4.0607665281,4,4,4,4,4,4,5,1,5,4,1,5,4.3825465666,4.3158190072,4.667343996,4.4330737821,4.0491269555,3.9713966993,3.9273759687,3.9273759687,5,5,5,5,4,4,5,4,4.0356414777,4,4,5,4,5,5,4,4,5,110.971514196
39,5,5,4.1624679593,4.7136740629,4,5,5,4,5,4,4,5,5,5,1,5,4,1,4.7786399099,5,4,5,4.6441016088,5,5,4.1624679593,4.1624679593,5,5,4,5,4,5,5,5,4.644640945,5,5,5,5,5,5,5,4,5,107.480709329
40,5,5,4.2597238091,4.9171551578,4.5015321389,5,5,5,5,5,4.8073743031,5,4.3222309858,5,1,5,5,1,4.9658324218,5,5,5,4.9103656519,5,5,4.2597238091,4.2597238091,5,5,5,5,5,4.7172515386,5,5,4.9424813446,5,5,5,5,5,5,4.8124562879,5,5,112.75263919
41,3,4.2222007389,4.2854264056,4.0123008199,3.6186216935,4.2499726135,5,3.9167991616,4.2526552873,4.0815492548,4.1555382694,3,3,5,4,3,4.0755438305,1,5,5,5,5,4.2765457138,5,5,4.2854264056,4.2854264056,5,5,3,3,4,3.9034802046,4,4.3333537724,4.3002092142,4.2197886122,4.2358394918,5,4.4713260096,5,4.2967029679,4.1603018817,5,5,98.7850930851
42,5,3.1908926613,3.274901368,3,1.3452536524,3.170868112,2.6684538439,2.6562182983,3.2391774477,3.0042944783,3,4,3,5,1,1,3.0231934033,1,3,1,1,1,1.8933432724,1,1,3.274901368,3.274901368,5,5,2,4,5,1.8461125931,4,5,3.3198672109,3.2954300745,3.189393992,5,3,2,1,3,3,5,113.202027972
43,5,5,3.918069781,5,4,5,4,5,5,5,5,5,4.5269023621,5,3,4,3,1,5,4,4,4,3.8496107795,3,4,3.918069781,3.918069781,5,5,4,4,4,4,4,4,4.0826452094,3,3,5,4,5,4,4.6000451202,5,5,105.914146341
44,4,3.8494415977,3.5663766048,3,2.7046440093,3.8645931526,4,3.5844213934,3.8661501479,3.6828601184,2,4,4,3,2,2,3.6246648704,2,4,5,4,4,3.1570748605,4,4,3.5663766048,3.5663766048,4,4,3,4,4,2.9961533925,4,4,3.8306388107,3.7336556276,3.7352594127,4,4,4,3.5167479497,4,3,4,101.425882353
45,5,4.4060838301,3.8372685226,4,3.9828536881,4.34484334,4,4.166523656,4.422638593,4.2841689104,5,4,5,5,1,4,3.8717259791,1,4,4,3,5,3.9737709028,3,4,3.8372685226,3.8372685226,5,5,4,5,4,4.16697926,5,4,4.0517647115,3.9692383807,4.019657835,5,5,4,4.341725043,5,4,5,113.202027972
46,5,5,3.8933462201,4.5843937952,3.7682269971,4,4,5,5,5,4.1995528516,5,4,5,1,4,4.4594182444,1,4.5215953285,4,4,5,4.0159893216,4,3,3.8933462201,3.8933462201,5,4,4,5,4,4.0281863417,4,4.5672557029,4.6000622352,4.5225054455,4.540157084,5,4,5,5,5,4,5,107.480709329
47,3.762819527,3.6491547022,3.5880982174,3.5193508506,3.3889310243,3.6431697302,3.4952692874,3.3575846901,3.6965324401,3.5650742266,3.8086052128,3.7034403233,3.3911479231,4.622775194,3,3.4673324862,3.4359077897,0,3.8640170194,3.6196072563,3.5608398037,4.2000791038,3.6662825693,3.5731622085,3.2870647946,3.5880982174,3.5880982174,4.3918675515,4.2682564759,3.8254180657,3.6996644813,3.8055893419,3.5914773518,3.8520267285,3.6964775368,3.6113138084,3.5686098253,3.571286926,4.6677025765,3.8824660909,3.9173545167,3.8181036584,3.661548632,3.6464936566,4.5341755954,114.923255814
48,4,4,3.5481829164,4,3,4,3,4,4,4,4,3,3.800683251,5,1,3,3.5910008281,1,3.8970696533,3,3,5,3.4747641048,3,2,3.5481829164,3.5481829164,4,4,4,4,4,3,4,3.8604581843,3.8260736749,3.7385625619,3.7616220506,5,4,4,5,4.1886414516,3,5,112.75263919
49,4,3.8920751758,3.6743226394,4,3.0743088346,3.8695369492,4,3.5536478651,3.9170207339,3.7494372558,4,3,3.5722099719,5,3,3,3.6677005759,1,4,4,3,4,3.6059693489,3,3,3.6743226394,3.6743226394,5,4,4,4,4,3.382385007,4,3,3.8806642093,3.8115047039,3.8164930342,5,4,4,4,3.9804902767,4,5,114.923255814
50,5,4,3.7392877375,4.2785044047,2.6859041728,5,4.1265309317,4,5,4,3.4520319842,4,3.3410037689,5,1,4,5,1,4,3.5677395748,3.5978392097,4.4968963549,3.6781670997,3.822711558,3.5636595496,3.7392877375,3.7392877375,5,4,2,3,4,3.1516377539,3,5,4.6909644395,5,5,5,5,4,4.0481709361,4.3667809408,3,5,110.823339587
51,5,5,3.9664074485,4.6795291941,4.3256112681,5,4.313009537,5,5,5,4.5575638059,5,4.2896779767,5,1,4,4.4693343471,1,5,4.3313464461,4.3736254284,4.5245498324,4.4072245854,4.1590175252,4.2278753211,3.9664074485,3.9664074485,5,5,5,4,3,4.4839570807,5,4.5295031013,4.5817873818,4.4952196772,4.5463428475,5,5,5,5,4.6664441963,4,5,107.480709329
52,5,5,3.8424664913,4.9268452035,5,5,5,5,5,5,5,5,3.9617665113,5,1,5,5,1,5,5,3,3,4.45013452,4,4,3.8424664913,3.8424664913,5,5,3,5,2,5,5,4,4.7400252364,5,5,5,4,5,5,4.4363287236,4.1168525303,5,107.480709329
53,5.1239395078,4.9957307555,4.3199677644,4.8695152302,4.8496537151,4.9333096969,4.3438747253,4.824233018,5.0312042602,4.9370241098,5,5,4.9963111897,5,1,5,4.4864649113,1,4.916935475,4.411403783,4.4595701801,4.6877703825,4.4527057328,4.2855262187,4.3086359354,4.3199677644,4.3199677644,5,5,5,5,5,4.9195701351,5,5,4.5912902088,4.5405224347,4.5687289933,5,5.0467469402,5,5,5.1023312509,5,5,99.048
54,3,3.4428103442,3.7245593917,3,2.9883444631,3.4860459316,4,3.0934566611,3.4589330655,3.2705307181,3.6178876353,3,2,5,1,3,3.4139531432,1,4,4,4,4.6907442153,4.2279410947,4,4,3.7245593917,3.7245593917,5,4,4,4,5,3.3457432274,4,4,3.684878265,3.5783514169,3.6337306371,5,3,4,4,3,4,5,113.202027972
55,5,4,3.6884606698,3,4,4,3.3541996918,4,4,4,4,4,5,5,1,4,2,1,3.9950064061,3.540402435,3.5238748653,4.1889058347,3.5288300823,3.270572919,3.2034960059,3.6884606698,3.6884606698,5,4,4,4,5,4,4,4,3.3875926306,3,4,5,2,4,4.0459100475,5,4,5,110.971514196
56,2.3943597272,2.2340002754,3.0505669079,1.9264271907,1,2.3572200688,2.4981394493,1.7691161967,2.2689414893,2.0004486078,1,4,1,4,1,1,2.4014479526,3,2.4345513861,2,1,5,2.2350258458,2,2,3.0505669079,3.0505669079,2,5,2,1,3,1,1,2.8118998164,2.7598082042,2.6629650932,2.6227824995,3,2.6864795293,2.4058605453,2.3131660802,2.3178700773,2,4,112.75263919
57,4.0659319438,3.9553191149,3.4596354422,3.7380218183,3.5209839991,3.8930274635,3.5185316556,3.6817623147,3.9735078223,3.8318566034,3.9342816347,3.8455100757,3.9831808349,4.5860096177,1,3.664136631,3.4799693925,0,3.9814227508,3.608822831,3.6153257186,4.0658061067,3.6533813742,3.4451655066,3.362196576,3.4596354422,3.4596354422,4.4331722954,4.2289795661,3.902790851,3.9880199994,3.8590180656,3.7351768064,4.042946129,3.7168567644,3.669182328,3.592530654,3.637837018,4.604417826,4.0886130961,4.0350906038,3.962174531,4.1842235575,3.7078020166,4.5605072225,107.134204355
58,5,4.8468741991,4.1864885574,5,4.5371538365,4.7952066993,4.322190672,4.6622887633,4.8768391672,4.7774566854,5,5,5,5,1,4,4.4827462117,1,4.7492219701,4.3582038956,4.3848210139,4.6413466707,4.4182183539,4.2606893153,4.2398248826,4.1864885574,4.1864885574,5,5,4,5,4,4.6470331055,5,4,4.5838670701,4.527532536,4.5506171742,5,5,4,4,5,4,5,113.202027972
59,5,5,4.0958499173,4.9316533695,4.1949052283,5,4,5,5,4.964383142,4.4402640468,4,5,5,3,5,5,1,5,4,3,4,3.8888315827,3,3,4.0958499173,4.0958499173,5,5,4,5,4,4.3279085753,5,5,4.7869580772,5,5,5,5,5,3,5,4,5,111.729075
60,5,4.7172228993,3.8845345349,5,3.894301079,4.6231299546,4,4.4573894703,4.7353067987,4.5993613201,4,5,5,5,1,4,4.1694053881,1,4.4708612292,4,3,3,3.6876614984,3,3,3.8845345349,3.8845345349,5,5,4,5,5,4.0961035766,5,5,4.3220357435,4.2589720272,4.2712188284,5,5,4,4.4242754027,5,3,5,113.202027972
61,4,3.877781128,3.5823594553,4,3.9799607921,3.8921016195,3.5961534814,3.754381093,3.9200087634,3.8270320054,4,4,3.487227456,4,3,4,3.5999886937,1,4,3.8719893332,3.828671758,3.9867335959,3.9160571528,3.6187624148,3.6337881758,3.5823594553,3.5823594553,4,4,4,4,3,4.0260893591,4,3.691754521,3.7024402249,3.6381069862,3.675174174,4,4,4,4,3.5474871275,4,4,120.616363636
62,4,4,3.9445144761,4,5,4,3.7797187728,4,4,4,5,4,4.3212179121,5,1,4,4,1,5,4.2862374752,4.2344567535,4.3524747993,4.3004377077,3.9099655082,3.9145307082,3.9445144761,3.9445144761,5,4.5555279635,5,5,4,5,4,3,3.7080791677,4,3,5,4,4,4.3272317289,4.0743954096,4.0429526633,5,107.480709329
63,4,5,3.9239572978,4.3551916904,3.8509906918,5,4.3406178442,4.343595042,5,4.4442573108,4.2540329495,4.4082731579,3.734382897,5,1,4,4.3518100947,1,5,4,5,5,4.4980005316,4,4,3.9239572978,3.9239572978,5,5,4,4,4.0861858728,4.1179143484,5,4.455073715,4.5166857487,4.409607249,4.4693351211,5,5,5,4,4.2516577479,4,5,112.75263919
64,3.9342942245,3.8450508678,3.3809944872,3.6128981755,3.2190714002,3.8208441213,3.5105537538,3.6099278047,3.8541356858,3.7039202528,3.6053233063,4,3.4504906599,4,1,4,3.5260183977,1,3.7646507293,3.5616838605,3.5384979966,3.9486119987,3.6163994047,3.3684138299,3.3554980049,3.3809944872,3.3809944872,4,4,3,3,3.597841296,3.4481805501,3,3.6763715609,3.7059991316,3.6066453135,3.6545975927,4,3.9326274301,4,4,3.7294107204,4,4,112.75263919
65,4,5,3.9536731451,4.2267302398,4,5,5,4,5,4,4,4,5,5,1,5,4.0222994893,1,4.4785515834,4,5,5,4.3504078423,4,4,3.9536731451,3.9536731451,5,4,4,5,4,4,5,4.2236855985,4.2205241484,4.1177276058,4.1891505907,5,5,4,4.4528654936,5,4,5,110.823339587
66,4.7039407558,4.6764419193,3.9689958401,4.474176463,4.422922001,4.6300944706,4.4130722314,4.5093850607,4.6754869994,4.5611487025,4.6178073136,4,5,5,1,5,4.3437282744,1,4.6153665488,4.7082625099,4.6874151162,4.6902443639,4.7893754486,4.3376018902,4.4193679537,3.9689958401,3.9689958401,5,5,4,5,4,4.5767051772,5,4.403626458,4.4732871055,4.3652466951,4.4513016413,5,4.678885364,5,5,4.245359742,4,5,112.75263919
67,4,3.8211983437,3.7496922626,4,3.4534678841,3.8312206428,4,3.542201,3.8487513873,3.7028807637,5,3,5,5,3,3,3.6963306647,1,5,4,3.9580160384,4,4.114363533,4,4,3.7496922626,3.7496922626,5,5,3,3,3,3.6982996822,4,3.9079967106,3.8864131751,3.8092484256,3.8413092759,5,4,4,3.9411445013,3,4,5,114.923255814
68,4,4,3.6423526961,3,4,4,4,3,4,4,4,5,4,4,1,4,3,1,4,4,4,4,4.1580402729,4,4,3.6423526961,3.6423526961,4,5,5,4,4,4,4,3,3.459558227,2,4,5,4,5,4,4,4,4,107.480709329
