IDX,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
93,29.12,27.07,60.45,29.31,40.57,50.5,32.21,45.13,55.2,35.77,44.59,64.47,30.47,37.29,55.36
94,26.04,14.92,71.46,28.93,36.07,52.13,32.83,43.04,57.87,26.03,54.84,38.38,32.26,41.09,57.59
95,25.98,48.22,39.99,27.45,48.98,42.84,31.82,49.51,52.27,26.08,40.36,42.93,10.01,21.32,14.71
96,30.49,40.06,53.7,31.67,39.99,56.75,33.26,38.41,62.06,31.31,19.25,82.24,26.63,38.03,45.27
97,23.95,25.98,46.03,24.79,30.65,44.84,24.69,12.95,71.76,21.96,34.3,36.01,19.71,39.05,29.66
98,25.59,18.54,60.91,26.97,27.94,53,23.5,34.26,39.63,27.96,19.44,68.2,26.46,17.46,66.57
99,26.11,37.31,44.39,27.16,38.69,46.23,32.24,38.12,59.5,34.17,43.52,61,27.29,35.86,48.06
100,25.86,29.6,48.45,26.1,36.73,44.65,27.91,19.68,67.5,34.61,41.22,63.66,28.87,40.76,49.32
101,26.94,30.71,50.57,27.39,32.49,50.48,27.98,32.69,51.93,28.24,45.35,45.84,26.94,28.49,52.41
102,22.02,31.59,37.37,23,17.2,53.78,31.14,45.62,52.4,31.35,51.57,50.41,28.49,44.83,46.61
103,25.48,32.41,45.5,26.49,33.53,47.41,28.37,64.38,40.88,28.88,40.63,49.41,32.19,40.05,58.07
104,19.9,17.18,42.96,20.29,26.91,35.58,28.06,33.85,51.33,21.89,37.67,34.6,28.19,46.75,45.2
105,24.87,11.59,78.25,28.98,44.63,47.8,29.9,33.84,56.33,29.7,31.91,57.36,20.37,35.73,31.98
106,13.24,16.26,24.02,12.82,17.13,22.41,30.23,25.1,66.63,35.84,42.89,65.8,29.25,33.82,54.53
107,25.5,19.84,58.25,25.28,37.11,42.49,29.94,28.41,61.5,27.51,45.67,44.07,25.73,34.8,44.76
108,25.67,31.9,46.33,26.16,33.98,46.3,28.02,19.41,68.46,36.24,37.17,71.56,18.37,26.69,31.01
109,24.62,34.85,42.01,23.56,12.19,69.12,30.25,41.63,52.23,28.9,38.18,50.76,24.04,35.87,40.16
110,28.39,40.05,48.51,26.14,11.86,83.76,29.57,35.5,54.2,26.7,17.06,68.49,18.84,12.43,47.41
111,28.13,47.8,44.69,31.13,37.04,57.3,32.2,41.92,56.95,25.31,19.37,58.4,23.73,27.57,44.17
112,28.76,39.54,49.68,30.34,35.32,56.41,26.12,34.28,46.03,28.8,41.42,48.82,30.42,20.89,74.73
113,23.46,29.09,42.38,24.25,29.29,44.31,33.22,41.7,59.68,28.72,16.87,77.58,33.34,36.77,63.58
114,26.95,45.98,42.74,28.46,39.78,48.83,22.48,29.44,39.65,27.03,33,49.17,25.18,19.95,56.98
115,24.79,33.43,43.17,25.3,15.23,67.34,31.28,42.5,54.29,28.41,42.23,47.52,28.6,34.99,51.97
116,23.6,30.95,41.59,24.4,31.67,43.21,28.02,35.03,50.43,28.21,50.58,43.94,28.93,41.63,49.03
117,28.08,40.06,47.76,27.3,15.05,76.83,20.78,33.34,33.73,27.41,34.03,49.49,31.85,37.19,59.12
118,24.57,12.78,71.8,25.07,11.61,79.2,25.65,34.56,44.7,29.42,36.71,52.99,30.05,47.76,48.97
119,30.84,38.64,55.45,30.98,21.72,75.19,27.37,33.02,50.06,26.22,37.74,44.44,27.5,35.44,48.84
120,27.62,28.87,54.03,27.1,16.86,70.67,27.17,33.26,49.37,34.49,40.78,63.66,30.88,42.69,53.22
121,25.93,21.48,57.24,24.6,41.48,39.2,33.9,34.3,67.4,29.02,35.02,53.07,27.57,32.87,50.7
122,26.89,40.02,44.96,28.23,43.19,46.67,27.68,32.73,51.09,8.01,12.95,12.95,26.73,37.52,45.78
123,25.09,31.26,45.23,26.21,36.53,45.01,21.17,28.92,36.67,29.51,33.75,55.32,32.68,46.05,55.88
124,25.89,31.91,46.89,26.98,31.57,50.03,33.24,45.33,57.63,22.46,31.31,38.58,19.69,35.55,30.6
125,23.38,26.64,43.9,24.04,32.35,41.89,27.9,40.29,47.21,34.48,23.39,85.3,24.28,44.81,37.44
126,23.17,28.75,41.84,24.16,34.9,40.89,27.05,33.21,49.07,30.81,19.41,79.74,25.01,33.02,43.95
127,31.33,31.49,62.51,32.2,26.21,71.75,21.31,27.11,38.06,28.74,20.35,69.34,32.55,27.86,70.56
128,26.12,36.69,44.72,27.77,28.29,55.02,26.85,22.64,58.69,30.51,14.89,93.03,24.24,32.26,42.44
129,24.87,34.97,42.56,26.63,32.06,48.74,23.99,10.77,77.4,29.74,32.49,56.97,31.18,57.02,48.24
130,20.44,10.08,61.87,23.79,28.84,43.42,31.51,46.32,52.94,32.55,19.48,86.93,33.72,38.11,63.57
131,29.46,34.96,54.28,30.63,41.89,53.04,23.7,54.48,34,33.2,32.99,66.61,27.53,35.86,48.67
132,28.54,16.92,76.68,29.65,52.4,46.42,26.14,44.38,41.53,28.22,36.58,49.99,28.19,33.41,51.98
133,24.53,27.65,46.28,24.59,35.99,41.38,27.51,53.67,41.61,29.18,38.5,51.28,26.12,47.54,40.47
134,25.73,32.25,46.25,26.45,26.96,52.39,25.59,13.35,74.63,23.28,13.83,62.46,27.48,38.73,46.99
135,22.69,30.26,39.72,24.61,27.5,46.64,25.44,40.85,41.27,29.96,43.3,50.7,26.36,54.08,39.2
136,26.87,33.13,48.66,28.5,37.26,50.3,25.49,43.18,40.53,29,19.82,71.45,26.12,40.92,42.8
137,22.84,44.43,34.59,24.79,41.02,39.76,32.54,44.26,56.47,34.37,45.48,60.35,32.02,46.6,54.01
138,25.71,42.89,41.12,28.15,34.63,51.05,21.5,22.27,42.26,35.35,47.2,61.83,27.78,43.73,45.42
139,21.3,31.47,35.72,23.11,29.05,41.5,29.32,36.62,52.78,26.19,33.12,46.89,27.02,34.99,47.89
140,12.95,15.65,23.66,10.81,15.89,18.17,24.06,30.8,42.85,28.95,38.96,50.47,27.19,35.64,47.94
141,26.55,31.99,48.59,23.88,10.76,76.87,33.41,24.44,79.11,32.7,39.96,59.46,25.04,33.76,43.6
142,24.72,36.37,41.52,25.39,38.64,42.08,25.17,35.34,43.09,23.6,30.03,42.15,27.02,45.65,43.02
143,24.32,12.08,73.28,27.42,40.68,45.9,23.25,11.23,71.36,29.34,35.07,53.9,23.62,51.66,34.41
144,11.6,6.71,31.67,11.02,22.32,16.46,27.53,33.98,49.83,26.33,35.41,45.9,21.74,28.5,38.32
145,19.62,27.62,33.56,20.91,19.38,43.48,26.73,39.41,44.86,30.26,36.75,55.18,28.31,35.97,50.59
146,28.4,28.52,56.69,27.68,45.87,44.38,29.15,46.94,47.26,22.32,15.42,54.63,32.71,43.79,57.14
147,26,22.81,55.63,26.37,33.16,47.34,27.1,38.11,46.37,34.38,38.32,65.21,19.49,24.37,35.07
148,19.82,22.93,36.96,20.6,29.32,35.08,24.95,33.1,43.75,28.22,36.92,49.79,29.03,37.65,51.41
149,13,17.36,22.74,12.02,15.26,21.49,25.64,16.31,65.95,25.08,10.85,83.06,30.05,53.78,46.84
150,22.38,36.44,36.13,22.89,41.31,35.56,29.1,52.56,45.22,20.62,10.14,62.54,33.25,41.47,59.91
151,22.01,31.57,37.37,23.44,25.32,45.13,28.08,30.53,53.9,28.33,19.28,69.95,23.03,25.45,43.87
152,22.29,49.93,32.25,27.08,32.7,49.51,24.01,40.15,38.37,32.11,42.83,56.17,26.56,38.43,44.92
153,24.47,30.08,44.37,24.56,38.47,40.24,26.31,16.65,67.86,29.62,32.05,56.98,29.14,27.7,59.81
154,25.32,29.86,46.79,25.93,32.09,46.89,11.17,13.43,20.46,28.76,47.88,46.03,27.22,28.34,53.37
155,21.39,49.41,30.65,26.43,36.94,45.34,8.28,10.97,14.52,32.14,44.58,55.31,22.81,12.33,65.01
156,23.08,32,39.73,21.96,12.37,60.94,22.56,37.03,36.29,22.66,31.87,38.78,24.91,14.63,67.34
157,26.49,33.09,47.7,26.85,19.41,64.01,33.68,26.69,76.16,29.88,45.79,49.37,26.66,39.21,44.8
158,22.16,23.63,42.94,21.36,13.04,56.36,26.88,20.6,61.96,31.89,43.33,55.35,15.67,22.12,26.77
159,19.26,42.58,27.97,21.59,38.68,33.65,23.83,17.2,56.84,29.31,35.54,53.49,27.86,25.65,58.13
160,24.26,38.38,39.6,25.78,35.23,44.66,26.76,39.74,44.77,23.92,33.41,41.03,28.11,24.44,60.43
161,24.46,17.33,59.01,25.62,15.85,67.04,26.7,33.3,48.1,29.01,39.86,50.11,28.17,31.4,53.44
162,29.02,38,51.19,31.1,33.42,60.04,8.94,10.14,16.83,30.93,39.4,55.2,31.85,26.12,70.69
163,24.99,53.38,36.69,29.25,37.68,51.95,27.72,26.99,56.18,29.51,53.78,45.69,24.67,38.61,40.43
164,26.67,18.51,65.1,27.79,19.55,67.3,28.61,28.95,56.87,29.23,40.98,50.07,23.96,11.49,73.92
165,27.14,36.38,47.38,27.77,37.62,48.28,8.4,3.69,27.52,32.47,39.76,59,25.81,38.34,43.2
166,29.79,40.34,51.79,28.55,50.43,44.7,23.82,30.11,42.66,27.95,21.59,64.15,31.84,54.01,50.62
167,12.22,5.8,37.96,11.06,24.01,16.16,30.07,40.79,52.23,30.34,41.52,52.5,10.07,12.55,18.15
168,24.31,34.06,41.67,24.91,36.77,41.78,24.12,42.26,37.89,35.07,50.69,59.34,18.92,15.7,41.71
169,11.48,14.59,20.53,10.47,15.54,17.52,24.4,36.13,40.88,28.69,62.44,41.87,16.65,19.8,30.64
170,21.28,35.98,33.87,21.69,37.05,34.38,32.43,38.81,59.52,29.75,35.22,54.88,20.43,36.68,31.8
171,19.96,25.31,35.71,17.55,7.53,58.45,29.58,43.34,49.77,23.66,10.29,78.06,24.91,29.7,45.82
172,30.66,29.94,62.04,31.71,38.36,57.93,28.67,53.1,44.15,24.95,17.93,59.67,28.25,35.49,50.73
173,26.93,14.29,77.7,29.66,44.31,49.5,28.74,30.05,56.24,23.34,35.79,38.56,27,27.29,53.71
174,22.96,31.1,39.9,23.85,24.91,46.67,22.5,34.06,37.37,28.98,30.22,56.77,18.02,31.95,28.19
175,25.62,18.4,61.31,24.76,44.78,38.45,33.22,44.38,58.08,26.11,37.37,44.35,16.27,27.64,25.86
176,21.75,28.7,38.24,23.51,23.59,46.95,25.97,18.3,62.84,28.29,46.27,45.58,13.3,28.79,19.45
177,24.06,38.33,39.16,26.2,27.76,50.92,25.86,19.51,60.15,28.57,38.3,49.87,9.99,14.88,16.7
178,26.65,20.01,62.15,26.69,40.37,44.34,27.75,28.02,55.25,32.79,33.89,64.52,26.44,39.63,44.08
179,25.93,40.3,42.6,26.62,39.62,44.51,11.41,8.34,27.02,26.93,45.33,42.93,9.63,14.17,16.17
180,10.81,17.6,17.44,9.59,5.05,27.79,32.8,45.4,56.49,32.38,35.86,61.62,25.75,43.51,40.99
181,25.7,23.07,54.32,25.34,37.65,42.39,9.45,10.27,18.16,26.79,20.56,61.72,26.97,51.38,41.13
182,29.76,44.64,49.59,30.97,48.32,50.82,26.58,28.87,51.06,10.36,14.6,17.71,25.74,26.25,50.98
183,24.68,26.11,48.02,25.49,29.37,47.61,25.56,19.22,59.53,32.92,59.29,51.19,9.63,14.13,16.2
184,28.51,20.11,68.92,30.47,36.65,55.8,27.02,19.28,64.86,27.72,16.02,75.69,32.28,41.54,57.37
185,26.4,31.29,48.68,26.91,36.38,46.83,25.67,25.39,51.64,23.29,32.38,40.04,32.23,21.55,80.45
186,25.37,33.66,44.49,26.6,27.2,52.6,20.57,30.05,34.65,34.63,31.62,72.55,27.23,32.95,49.75
187,22.06,40.02,34.21,24.67,32.03,43.67,21.97,16.93,50.46,30.12,46.96,49.44,30.94,38.47,55.83
188,25.15,43.48,39.7,27.63,28.99,53.97,28.58,47.43,45.8,25.23,33.01,44.52,26.69,15.27,73.37
189,25.55,39.4,42.13,27.8,22.44,62.23,27.67,28.11,54.91,31.69,32.84,62.27,27.02,36.8,46.87
190,24.35,29.86,44.22,25.24,34.49,43.71,10.58,9.33,22.59,29.55,48.33,47.63,30.06,44.03,50.58
191,24.22,33.21,41.88,24.45,35.41,41.32,32.41,39.21,59.19,25.49,11.59,81.5,12.03,13.37,22.86
192,24.13,15.04,62.82,26.02,34.77,45.49,20.85,12.55,55.48,29.76,12.98,97.99,29.72,42.49,50.52
193,21.91,23.08,42.71,21.8,31.68,36.81,21.94,27.81,39.25,22.98,28.37,41.59,22.08,48.91,32.05
194,25.58,30.55,47.01,26.13,33.78,46.35,26.85,27.92,52.66,29.02,37.21,51.66,23.57,10.11,78.53
195,21.4,30.89,36.23,22.47,30.1,39.23,21.26,10.09,66.02,31.58,40.56,56.18,23.34,26.53,43.88
196,11.65,16.76,19.76,11.22,12.16,21.58,30.56,36.77,55.96,24.59,11.32,77.99,22.31,33.12,37.34
197,22.34,31.72,38.07,24.36,27.05,46.31,27.06,18.55,66.51,10.78,13.4,19.45,29.28,46.69,47.65
198,25.28,41.12,40.82,27.27,39.24,46.23,28.99,49.19,46.08,34.65,52.37,57.58,21.36,39.91,32.8
199,28.86,29.61,56.98,29.69,38.92,52.35,30.93,36.4,57.21,22.08,39.86,34.3,27.54,35.95,48.63
200,24.06,41.29,38.07,25.52,32.87,45.32,27.83,19.38,67.79,31.38,22.53,75.09,27.54,24.37,58.65
201,26.59,31.77,48.83,28.33,28.5,56.51,28.29,41.31,47.65,26.29,33.41,46.98,32.34,24.28,75.42
202,20.65,37.57,32,21.37,12.27,58.59,26.08,39.98,43.09,29.13,16.47,80.67,24.52,29.76,44.72
203,26.32,19.84,61.23,27.54,21.89,62.17,4.11,4.12,8.21,26.22,60.95,37.5,28.98,23.86,64.17
204,20.68,24.92,37.83,22.32,20.67,46.44,26.57,11.61,87.33,28.65,37.15,50.76,9.19,11.19,16.74
205,27.88,36.4,49.22,28.26,39.62,48.42,31.16,43.14,53.67,30.33,30.66,60.33,32.54,41.5,58.05
206,27.52,15.46,76.52,28.03,53.7,42.67,24.82,29.8,45.49,29.41,35.5,53.76,32.82,44.22,57.19
207,30.55,33.78,58.17,30.57,37.94,55.21,23.21,31.98,40.05,29.05,32.66,54.89,30.08,35.97,55.22
208,23.61,32.73,40.64,24.1,15.57,61.38,8.24,9.9,15.1,23.21,23.57,46.06,26,36.79,44.37
209,22.45,9.88,73.48,27.67,24.09,59.45,26.22,28.35,50.47,31.97,35.68,60.6,27.22,36.41,47.57
210,24.89,32.81,43.77,26.27,33.68,46.76,24.42,34.68,41.62,28.83,43.33,48.01,27.26,32.98,49.78
211,24.91,40.14,40.36,27.01,31.85,49.91,27.38,31.71,51.02,28.07,37.27,49.22,31.95,39.92,57.52
212,23.5,42.72,36.43,24.72,45.56,38.13,22.99,28.32,41.65,27.45,34.05,49.59,27.29,35.21,48.43
213,27.16,34.75,48.38,27.51,43.55,44.9,28.88,38.7,50.44,32.87,24.06,77.79,23.36,24.29,45.83
214,26.72,31.92,49.07,23.99,10.91,76.77,26.27,33.32,46.98,24.58,33.46,42.63,27.63,29.17,53.8
215,24.81,33.49,43.19,23.19,48.77,34.21,29.54,43.03,49.83,24.2,39.81,38.91,25.56,48.22,39.11
216,24.96,36.17,42.17,26.58,35.61,46.41,26.14,35.08,45.61,33.04,44.22,57.73,27.26,36.78,47.45
217,30.31,36.38,55.55,29.93,43.93,50.32,28.23,24.98,60.14,25.48,40.47,41.52,28.97,40.14,49.88
218,17.86,35.6,26.81,20.08,29.12,33.93,26.77,38.37,45.46,32.45,43.57,56.63,23.17,36.94,37.69
219,25.53,30.93,46.6,27.03,30.88,50.69,23.4,36.52,38.4,27.05,32.28,49.72,24.37,32.24,42.8
220,22.26,39.84,34.71,23.11,36.67,37.67,30.15,49.96,48.35,8.52,16.14,13.01,19.08,26.35,32.89
221,29.96,34.74,55.78,31.24,36.95,57.66,25.62,38.37,42.73,29.71,46.91,48.54,24.35,33.96,41.8
222,24.57,46.11,37.66,28.07,33.54,51.55,32.89,41.5,58.97,23.06,31.99,39.68,28.59,26.11,59.9
223,24.69,18.43,57.76,24.99,43.1,39.48,27.87,39.87,47.35,28.36,40.05,48.44,15.93,22.8,27.06
224,12.11,17.68,20.39,11.21,16.38,18.88,29.17,39.41,50.76,30.48,67.71,44.2,26.73,32.8,48.51
225,26.2,28.04,50.68,26.6,36.82,45.81,22.89,24.93,43.9,33.05,19.89,87.97,24.44,35.38,41.31
